# spike	reduction-tree-width-excursion
# mode	TreeWidthExcursion
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.97 4.33 4.66
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16384	780	12779520	single-workgroup-tree	13	60	-	13	64	2	30	64	818.166	871.500	932.125	39.387	42615.792	42789.542	42922.708	123.341	663.4544	665.3657	2.5830	measured
16384	780	12779520	single-workgroup-tree	15	52	-	15	64	2	30	64	804.667	867.209	940.291	52.118	41529.875	41681.458	41926.167	148.296	646.4319	647.8452	3.1812	measured
16384	780	12779520	single-workgroup-tree	20	39	-	20	80	2	30	64	779.833	862.250	926.416	50.131	41493.916	41649.291	41847.667	151.751	646.2553	647.4133	3.2045	measured
16384	780	12779520	single-workgroup-tree	26	30	-	26	112	2	30	64	812.542	861.250	931.666	43.003	42431.917	42619.084	42790.041	147.378	660.6250	662.8228	3.0219	measured
16384	780	12779520	single-workgroup-tree	30	26	-	30	128	2	30	64	816.875	863.292	935.042	43.284	41752.625	41918.750	42119.959	125.661	649.7738	651.6739	2.6817	measured
16384	780	12779520	single-workgroup-tree	39	20	-	39	160	2	30	64	796.875	848.083	906.625	35.481	40475.041	40624.916	40847.542	148.335	629.8122	631.3783	2.9177	measured
16384	780	12779520	single-workgroup-tree	52	15	-	52	208	2	30	64	782.167	836.667	914.042	43.406	40405.958	40615.416	40863.833	157.878	628.9491	631.4087	3.1950	measured
16384	780	12779520	single-workgroup-tree	60	13	-	60	240	2	30	64	803.875	847.875	922.625	41.661	41535.458	41691.208	41794.250	129.032	646.5331	648.3069	2.7094	measured
16384	780	12779520	single-workgroup-tree	65	12	-	65	272	2	30	64	794.542	842.500	902.125	40.544	40459.542	40634.667	40917.583	193.188	629.6032	631.6217	3.7100	measured
16384	780	12779520	single-workgroup-tree	78	10	-	78	320	2	30	64	789.458	830.334	876.333	35.739	40460.542	40607.625	40772.667	202.149	629.6997	631.3856	3.7760	measured
16384	780	12779520	single-workgroup-tree	130	6	-	130	528	2	30	64	802.000	836.417	897.542	34.625	41099.625	41219.167	41547.667	164.547	639.6448	640.9960	3.1615	measured
