# spike	reduction-tree-width-excursion
# mode	TreeWidthExcursion
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.95 4.12 4.56
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16384	780	12779520	single-workgroup-tree	13	60	-	13	64	2	30	64	830.041	870.875	946.709	47.791	42705.416	42813.541	42987.709	114.853	664.6885	665.7566	2.5817	measured
16384	780	12779520	single-workgroup-tree	15	52	-	15	64	2	30	64	801.084	858.292	933.916	43.916	41579.667	41740.209	42028.583	180.915	647.2791	648.9193	3.5688	measured
16384	780	12779520	single-workgroup-tree	20	39	-	20	80	2	30	64	810.166	854.875	903.166	40.182	41574.250	41681.917	41924.167	146.825	647.0490	648.0483	2.9684	measured
16384	780	12779520	single-workgroup-tree	26	30	-	26	112	2	30	64	817.250	893.542	942.375	43.731	42468.750	42638.666	42895.333	143.835	661.1349	662.6210	2.9772	measured
16384	780	12779520	single-workgroup-tree	30	26	-	30	128	2	30	64	800.000	875.125	937.958	54.505	41745.417	41909.584	42108.750	127.976	649.9273	651.3406	2.8965	measured
16384	780	12779520	single-workgroup-tree	39	20	-	39	160	2	30	64	767.417	831.458	893.417	37.528	40506.500	40662.583	40931.083	160.681	630.7791	632.2401	3.1462	measured
16384	780	12779520	single-workgroup-tree	52	15	-	52	208	2	30	64	786.083	846.125	891.625	34.259	40489.417	40644.583	40860.333	158.612	630.2117	631.7216	3.0614	measured
16384	780	12779520	single-workgroup-tree	60	13	-	60	240	2	30	64	818.584	867.291	932.833	40.878	41623.458	41698.291	41974.833	149.054	647.6964	648.1111	3.0148	measured
16384	780	12779520	single-workgroup-tree	65	12	-	65	272	2	30	64	781.666	848.333	916.208	43.184	40537.042	40662.083	40924.583	179.103	631.0377	631.9643	3.5284	measured
16384	780	12779520	single-workgroup-tree	78	10	-	78	320	2	30	64	792.916	836.167	893.250	35.471	40513.708	40684.583	40961.208	182.505	630.4888	632.5145	3.4599	measured
16384	780	12779520	single-workgroup-tree	130	6	-	130	528	2	30	64	790.000	863.667	916.875	41.213	41112.584	41250.750	41507.125	174.626	640.0410	641.0648	3.4260	measured
16384	780	12779520	single-workgroup-tree	156	5	-	156	624	2	30	64	796.792	854.458	927.167	42.229	41001.958	41151.583	41361.292	117.447	638.1772	639.6369	2.5345	measured
16384	780	12779520	single-workgroup-tree	195	4	-	195	784	2	30	64	825.917	890.708	964.792	48.243	43448.125	43541.667	43629.583	71.678	676.5430	676.9993	1.9035	measured
16384	780	12779520	single-workgroup-tree	260	3	production	260	1040	2	30	64	811.959	861.500	917.208	36.356	41970.208	42062.833	42278.542	115.796	653.3055	653.9894	2.4151	measured
16384	780	12779520	single-workgroup-tree	390	2	-	390	1568	2	30	64	1137.459	1176.166	1244.917	43.347	62731.417	62817.292	63019.916	83.552	977.6819	978.4306	2.0143	measured
4	1042	4168	single-workgroup-tree	2	521	production	2	16	2	30	64	146.709	168.542	189.333	14.738	672.917	742.833	803.833	47.027	8.3525	9.1157	0.9804	measured
4	1042	4168	single-workgroup-tree	521	2	-	521	2096	2	30	64	145.459	167.417	190.375	26.637	557.875	595.625	690.209	51.716	6.5463	6.7970	1.2437	measured
16384	1042	17072128	single-workgroup-tree	2	521	production	2	16	2	30	64	1064.458	1111.208	1144.250	31.931	58108.333	58244.208	58501.459	139.418	905.4583	906.8730	2.7198	measured
16384	1042	17072128	single-workgroup-tree	521	2	-	521	2096	2	30	64	1054.292	1100.584	1162.416	53.276	57480.167	57574.375	57750.084	106.090	895.6488	896.4094	2.5296	measured

# shapes	6
# variants_attempted	52
# variants_measured	52
# variants_declined	0
# load_after	2.86 3.96 4.48
