# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	4.33 3.79 3.75
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	774	6192	single-workgroup-tree	387	2	-	387	1552	2	30	64	134.042	162.292	185.334	15.511	1011.666	1205.875	1308.834	117.321	13.9305	16.5648	2.1085	measured
8	783	6264	single-workgroup-tree	3	261	-	3	16	2	30	64	146.167	159.834	181.917	13.827	493.709	522.708	576.125	45.498	5.5165	5.7599	0.9417	measured
8	783	6264	single-workgroup-tree	9	87	-	9	48	2	30	64	146.000	165.042	187.333	33.069	658.708	697.333	795.042	48.721	8.1382	8.4491	1.2983	measured
8	783	6264	single-workgroup-tree	27	29	-	27	112	2	30	64	144.917	161.209	182.792	20.073	351.166	383.625	439.459	29.936	3.2738	3.5304	0.7938	measured
8	783	6264	single-workgroup-tree	29	27	-	29	128	2	30	64	145.166	158.292	182.625	15.569	353.042	373.209	422.250	34.582	3.2996	3.4114	0.7961	measured
8	783	6264	single-workgroup-tree	87	9	-	87	352	2	30	64	146.625	173.375	186.125	29.455	459.875	484.458	593.583	51.507	4.9722	4.9378	1.2851	measured
8	783	6264	single-workgroup-tree	261	3	production	261	1056	2	30	64	145.042	167.083	183.750	13.714	430.875	449.291	486.625	30.863	4.5370	4.4795	0.7076	measured
8	900	7200	single-workgroup-tree	2	450	-	2	16	2	30	64	152.000	169.917	213.125	20.627	2423.875	2591.500	2674.875	90.119	36.0615	38.4378	1.7579	measured
8	900	7200	single-workgroup-tree	3	300	-	3	16	2	30	64	117.916	135.500	170.667	18.925	515.833	559.875	608.250	50.992	6.3161	6.7361	1.1098	measured
8	900	7200	single-workgroup-tree	4	225	-	4	16	2	30	64	106.291	139.167	196.167	51.241	481.583	548.667	582.667	41.152	5.9570	6.5000	1.4666	measured
