# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	3.14 3.58 3.68
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	774	6192	single-workgroup-tree	387	2	-	387	1552	2	30	64	135.000	160.500	175.167	15.044	1005.167	1219.708	1330.292	112.908	13.8122	16.8128	2.0310	measured
8	783	6264	single-workgroup-tree	3	261	-	3	16	2	30	64	117.958	148.833	165.291	11.596	487.542	515.625	538.958	27.055	5.8664	5.8221	0.6135	measured
8	783	6264	single-workgroup-tree	9	87	-	9	48	2	30	64	117.542	149.417	165.958	18.773	650.625	698.208	750.583	43.013	8.4616	8.7110	0.9807	measured
8	783	6264	single-workgroup-tree	27	29	-	27	112	2	30	64	117.125	149.375	171.125	35.489	339.958	367.625	405.167	32.302	3.5370	3.4643	1.0760	measured
8	783	6264	single-workgroup-tree	29	27	-	29	128	2	30	64	117.709	148.792	165.209	11.778	335.125	363.167	378.208	30.630	3.4510	3.4028	0.6731	measured
8	783	6264	single-workgroup-tree	87	9	-	87	352	2	30	64	118.916	150.375	167.750	32.552	457.375	478.125	521.750	27.688	5.3724	5.2024	0.9562	measured
8	783	6264	single-workgroup-tree	261	3	production	261	1056	2	30	64	114.167	149.875	162.458	13.056	419.500	451.542	486.375	36.503	4.8466	4.7884	0.7867	measured
8	900	7200	single-workgroup-tree	2	450	-	2	16	2	30	64	152.792	184.375	214.250	23.365	2449.166	2590.333	2702.584	85.673	36.4504	38.1898	1.7308	measured
8	900	7200	single-workgroup-tree	3	300	-	3	16	2	30	64	120.000	148.875	181.750	20.394	510.708	562.291	606.792	39.867	6.2017	6.5622	0.9565	measured
8	900	7200	single-workgroup-tree	4	225	-	4	16	2	30	64	116.625	150.708	182.875	20.177	480.458	539.333	602.333	37.384	5.7751	6.1687	0.9137	measured
8	900	7200	single-workgroup-tree	5	180	-	5	32	2	30	64	135.875	164.834	203.125	31.200	1225.292	1380.375	1484.375	89.502	17.2923	19.2943	1.9159	measured
