# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.89 3.15 3.76
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
64	8192	524288	multi-pass-split	1024	8	-	1	0	3	30	64	192.583	228.375	239.042	13.084	3048.667	3282.833	3322.750	92.301	45.3347	48.4835	1.6728	measured
64	8192	524288	multi-pass-split	2048	4	-	1	0	3	30	64	199.584	242.750	247.709	21.163	3560.250	3773.167	3831.708	98.866	53.3439	56.0384	1.9052	measured
64	8192	524288	multi-pass-split	4096	2	-	1	0	3	30	64	232.333	268.667	285.584	42.725	5517.708	5729.750	5780.208	87.783	83.8948	86.6839	2.0716	measured
64	8192	524288	single-workgroup-tree	2	4096	-	2	16	2	30	64	217.083	250.292	261.458	15.812	4405.125	4652.417	4724.709	109.377	66.4769	69.8750	1.9871	measured
64	8192	524288	single-workgroup-tree	4	2048	-	4	16	2	30	64	186.208	235.042	243.875	30.396	3004.041	3231.750	3292.000	97.161	44.7275	47.5668	2.0247	measured
64	8192	524288	single-workgroup-tree	8	1024	-	8	32	2	30	64	196.667	227.833	233.709	12.722	2680.208	2945.500	2985.458	109.834	39.4213	43.1376	1.9453	measured
64	8192	524288	single-workgroup-tree	16	512	-	16	64	2	30	64	187.500	223.542	231.667	16.321	2340.625	2542.583	2610.333	102.096	34.1766	36.8102	1.8796	measured
64	8192	524288	single-workgroup-tree	32	256	-	32	128	2	30	64	171.917	218.292	228.083	15.981	2028.333	2189.500	2255.500	82.525	29.4669	31.2890	1.5636	measured
64	8192	524288	single-workgroup-tree	64	128	-	64	256	2	30	64	175.750	220.167	229.458	15.039	2418.916	2653.625	2698.708	107.346	35.6058	38.6263	1.9426	measured
64	8192	524288	single-workgroup-tree	128	64	governed	128	512	2	30	64	170.875	223.667	233.458	35.881	2170.875	2336.750	2373.500	72.279	31.7460	33.5410	1.7168	measured
