# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	4.34 3.37 3.95
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
64	8192	524288	multi-pass-split	2048	4	-	1	0	3	30	16	193.208	213.500	230.083	12.008	1036.250	1115.750	1175.042	45.985	56.2028	60.1500	3.8662	measured
64	8192	524288	multi-pass-split	4096	2	-	1	0	3	30	16	223.125	243.083	262.500	12.745	1516.458	1607.833	1647.667	42.365	86.2222	90.9833	3.6740	measured
64	8192	524288	single-workgroup-tree	2	4096	-	2	16	2	30	16	206.167	222.791	243.666	12.442	1245.625	1311.500	1403.959	53.495	69.2972	72.5806	4.3958	measured
64	8192	524288	single-workgroup-tree	4	2048	-	4	16	2	30	16	179.792	200.375	228.417	28.404	880.625	973.375	1054.333	51.249	46.7222	51.5333	5.3102	measured
64	8192	524288	single-workgroup-tree	8	1024	-	8	32	2	30	16	163.917	192.708	214.917	13.134	821.125	891.292	968.959	46.101	43.8139	46.5723	3.9490	measured
64	8192	524288	single-workgroup-tree	16	512	-	16	64	2	30	16	158.167	189.792	214.458	24.043	722.417	834.708	899.041	60.028	37.6167	42.9944	5.6048	measured
64	8192	524288	single-workgroup-tree	32	256	-	32	128	2	30	16	166.875	181.333	208.167	13.403	623.167	718.917	803.833	65.705	30.4195	35.8389	5.2738	measured
64	8192	524288	single-workgroup-tree	64	128	-	64	256	2	30	16	175.083	188.708	216.500	15.144	729.333	838.958	912.500	56.618	36.9500	43.3500	4.7841	measured
64	8192	524288	single-workgroup-tree	128	64	governed	128	512	2	30	16	170.292	189.291	220.542	38.355	637.417	759.125	838.750	64.402	31.1417	37.9889	6.8504	measured
64	8192	524288	single-workgroup-tree	256	32	-	256	1024	2	30	16	172.250	185.250	295.042	44.854	632.791	731.583	800.375	56.065	30.7027	36.4222	6.7279	measured
64	8192	524288	single-workgroup-tree	512	16	-	512	2048	2	30	16	174.125	188.000	213.458	16.896	641.333	753.458	835.125	63.108	31.1472	37.6972	5.3336	measured
64	8192	524288	single-workgroup-tree	1024	8	-	1024	4096	2	30	16	171.667	189.583	214.292	14.723	693.625	833.459	902.667	63.990	34.7972	42.9251	5.2475	measured
64	8192	524288	single-workgroup-tree	2048	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
64	8192	524288	single-workgroup-tree	4096	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	multi-pass-split	2	8192	-	1	0	3	30	16	1036.709	1082.666	1147.833	36.699	14218.708	14337.625	14372.917	46.722	878.7999	883.6639	5.5614	measured
256	16384	4194304	multi-pass-split	4	4096	-	1	0	3	30	16	401.334	448.375	475.916	22.259	4207.375	4302.583	4355.500	53.149	253.7361	256.9472	5.0272	measured
256	16384	4194304	multi-pass-split	8	2048	-	1	0	3	30	16	363.125	401.125	429.375	21.543	3594.458	3685.875	3736.083	52.248	215.4222	218.9833	4.9194	measured
256	16384	4194304	multi-pass-split	16	1024	-	1	0	3	30	16	349.042	389.083	398.834	12.639	3475.209	3575.375	3621.875	68.730	208.4111	212.4195	5.4246	measured
256	16384	4194304	multi-pass-split	32	512	-	1	0	3	30	16	349.959	389.083	398.458	34.319	3417.500	3517.250	3556.500	47.308	204.5027	208.5445	5.4418	measured
256	16384	4194304	multi-pass-split	64	256	-	1	0	3	30	16	348.875	387.375	397.750	32.096	3402.417	3479.709	3528.542	40.629	203.5695	206.1556	4.8483	measured
256	16384	4194304	multi-pass-split	128	128	governed	1	0	3	30	16	364.458	397.584	410.209	29.004	3591.042	3651.042	3720.458	51.423	215.1056	216.8972	5.3617	measured
256	16384	4194304	multi-pass-split	256	64	-	1	0	3	30	16	357.125	390.708	413.625	30.581	3435.417	3503.000	3563.209	53.255	205.2195	207.4861	5.5891	measured
256	16384	4194304	multi-pass-split	512	32	-	1	0	3	30	16	369.291	399.125	408.875	13.673	3625.084	3725.417	3768.583	59.135	217.0529	221.7528	4.8539	measured
256	16384	4194304	multi-pass-split	1024	16	-	1	0	3	30	16	364.458	400.625	413.042	27.830	3635.416	3738.166	3770.792	64.103	218.0639	222.5027	6.1289	measured
256	16384	4194304	multi-pass-split	2048	8	-	1	0	3	30	16	375.083	409.208	426.791	20.945	3775.125	3877.834	3912.500	45.183	226.6695	231.2417	4.4085	measured
256	16384	4194304	multi-pass-split	4096	4	-	1	0	3	30	16	426.125	456.291	472.875	38.584	4513.542	4615.834	4648.583	50.147	272.4945	277.3029	5.9154	measured
256	16384	4194304	multi-pass-split	8192	2	-	1	0	3	30	16	1112.458	1167.625	1220.541	37.948	15199.334	15276.708	15331.750	56.252	939.1251	940.6055	6.2800	measured
256	16384	4194304	single-workgroup-tree	2	8192	-	2	16	2	30	16	994.250	1038.875	1099.416	35.308	13156.500	13208.875	13250.625	42.311	810.8167	811.3333	5.1746	measured
256	16384	4194304	single-workgroup-tree	4	4096	-	4	16	2	30	16	394.833	451.459	464.958	34.727	4048.708	4118.958	4143.292	33.225	243.5917	244.4999	4.5301	measured
