cell	realization	m	n	k	weight_class	verdict	bit_identical	median_ulp_gap_vs_strict_fold	p99_9_ulp_gap_vs_strict_fold	max_ulp_gap_vs_strict_fold	max_abs_deviation_vs_binary64	rms_result_magnitude	result_sha256	workload_role
w_prefill_o	direct	128	1024	2048	[1024, 2048]	bit-identical-to-strict-fold	131072/131072	0	0	0	2.940972e-05	3.772801e+00	b99eff9042d9e4b25e3844ff0462e5e6303e57b146aa79400622885bffc5f2f6	B1-a prefill o_proj
w_prefill_o	tiled	128	1024	2048	[1024, 2048]	bit-identical-to-strict-fold	131072/131072	0	0	0	2.940972e-05	3.772801e+00	b99eff9042d9e4b25e3844ff0462e5e6303e57b146aa79400622885bffc5f2f6	B1-a prefill o_proj
w_prefill_o	ksplit_contiguous	128	1024	2048	[1024, 2048]	differs-from-strict-fold	4715/131072	8	3328	1155072	4.292878e-06	3.772801e+00	3eaf0be308c74a1b0004b1595b850cf64e1d350afb600f650250d4d4d230757a	B1-a prefill o_proj
w_prefill_o	ksplit_strided	128	1024	2048	[1024, 2048]	differs-from-strict-fold	4495/131072	8	3309	1208320	4.371951e-06	3.772801e+00	b43cff0819edc3ca1605f5b45751969f65505c69d664784ee107392bed73fa4d	B1-a prefill o_proj
w_prefill_o	simdgroup	128	1024	2048	[1024, 2048]	differs-from-strict-fold	13766/131072	3	1502	226437	2.897141e-05	3.772801e+00	f867d0eab815d33c5f26b9daf18eea10e47fcce738773d3bfdc6ad2c2920f2ef	B1-a prefill o_proj
w_prefill_o	opaque_mps	128	1024	2048	[1024, 2048]	differs-from-strict-fold	13766/131072	3	1502	226437	2.897141e-05	3.772801e+00	f867d0eab815d33c5f26b9daf18eea10e47fcce738773d3bfdc6ad2c2920f2ef	B1-a prefill o_proj
w_vocab_slice	direct	1	8192	1024	[151936, 1024] slice	bit-identical-to-strict-fold	8192/8192	0	0	0	9.668823e-06	2.663556e+00	88b01ae776f42bdb2f2d1092ddfd039e20e652d28393a6e2ec19e5cc1d9803c8	decode vocabulary projection, first 8192 rows
w_vocab_slice	tiled	1	8192	1024	[151936, 1024] slice	bit-identical-to-strict-fold	8192/8192	0	0	0	9.668823e-06	2.663556e+00	88b01ae776f42bdb2f2d1092ddfd039e20e652d28393a6e2ec19e5cc1d9803c8	decode vocabulary projection, first 8192 rows
w_vocab_slice	ksplit_contiguous	1	8192	1024	[151936, 1024] slice	differs-from-strict-fold	424/8192	6	1860	223232	2.359771e-06	2.663556e+00	03393c9b5ca2553758b97aac0dcf4d5ccb17a0504ffcc554fc0137d79452f15e	decode vocabulary projection, first 8192 rows
w_vocab_slice	ksplit_strided	1	8192	1024	[151936, 1024] slice	differs-from-strict-fold	431/8192	6	1456	206848	2.152899e-06	2.663556e+00	ab86ece2537b2cc35ae442de833168fa82f0c4c3c83cae009211996dc7d07958	decode vocabulary projection, first 8192 rows
w_vocab_slice	simdgroup	1	8192	1024	[151936, 1024] slice	refused:simdgroup-requires-extents-multiple-of-8								decode vocabulary projection, first 8192 rows
w_vocab_slice	opaque_mps	1	8192	1024	[151936, 1024] slice	differs-from-strict-fold	434/8192	6	1717	13920	1.197536e-06	2.663556e+00	79153ff55ab22b7a15a9db8c4550d3f2d23baecfaf93913936adb6060f64ef56	decode vocabulary projection, first 8192 rows
