requested	operations	coverage_records	stages	alternatives	graph_bytes	program_bytes	widest_alternative_bytes	coverage_bytes	mean_record_bytes	bytes_per_op	compile_ms
#   3 -> 4	1.333	1.312	0.9440
#   4 -> 5	1.250	1.238	0.9561
#   5 -> 6	1.200	1.192	0.9639
#   6 -> 7	1.167	1.161	0.9693
#   7 -> 8	1.143	1.139	0.9733
#   8 -> 9	1.125	1.122	0.9764
#   9 -> 10	1.111	1.109	0.9788
#   10 -> 11	1.100	1.098	0.9808
#   11 -> 12	1.091	1.089	0.9825
#   12 -> 13	1.083	1.082	0.9838
#   13 -> 14	1.077	1.076	0.9850
#   14 -> 15	1.071	1.070	0.9860
#   15 -> 16	1.067	1.066	0.9869
#   16 -> 17	1.062	1.062	0.9877
#   17 -> 18	1.059	1.058	0.9884
#   18 -> 19	1.056	1.055	0.9890
#   19 -> 20	1.053	1.052	0.9896
#   20 -> 21	1.050	1.049	0.9901
#   21 -> 22	1.048	1.047	0.9905
#   22 -> 23	1.045	1.045	0.9910
#   23 -> 24	1.043	1.043	0.9913
#   24 -> 25	1.042	1.041	0.9917
#   25 -> 26	1.040	1.040	0.9920
#   26 -> 27	1.038	1.038	0.9923
#   27 -> 28	1.037	1.037	0.9926
#   28 -> 29	1.036	1.035	0.9929
#   29 -> 30	1.034	1.034	0.9931
#   30 -> 31	1.033	1.033	0.9933
#   31 -> 32	1.032	1.032	0.9935
#   32 -> 33	1.031	1.031	0.9937
#   33 -> 34	1.030	1.030	0.9939
#   34 -> 35	1.029	1.029	0.9941
#   35 -> 36	1.029	1.028	0.9943
#   36 -> 37	1.028	1.028	0.9944
#   37 -> 38	1.027	1.027	0.9946
#   38 -> 39	1.026	1.026	0.9947
#   39 -> 40	1.026	1.026	0.9948
#   40 -> 41	1.025	1.025	0.9950
#   41 -> 42	1.024	1.024	0.9951
#   42 -> 43	1.024	1.024	0.9952
#   43 -> 44	1.023	1.023	0.9953
#   44 -> 45	1.023	1.023	0.9954
#   45 -> 46	1.022	1.022	0.9955
#   46 -> 47	1.022	1.022	0.9956
#   47 -> 48	1.021	1.021	0.9957
#   48 -> 49	1.021	1.021	0.9958
#   49 -> 50	1.020	1.020	0.9959
#   50 -> 51	1.020	1.020	0.9960
#   51 -> 52	1.020	1.020	0.9960
#   52 -> 53	1.019	1.019	0.9961
#   53 -> 54	1.019	1.019	0.9962
#   54 -> 55	1.019	1.018	0.9963
#   55 -> 56	1.018	1.018	0.9963
#   56 -> 57	1.018	1.018	0.9964
#   57 -> 58	1.018	1.017	0.9964
#   58 -> 59	1.017	1.017	0.9965
#   59 -> 60	1.017	1.017	0.9966
#   60 -> 61	1.017	1.017	0.9966
#   61 -> 62	1.016	1.016	0.9967
#
# log-log least-squares exponent over all 61 points: 0.9824
# READ THAT WITH THE FIT BELOW, NOT INSTEAD OF IT. An exponent is a summary of where the domain is and not a statement of what the curve is: over the pre-ADR-0104 quadratic it read 1.09, because the linear term dominated everywhere a program could reach. Only the exact fit below distinguishes the two encodings, and it does so by reproducing every measured point to the byte.
#
# MAX_PROGRAM_IDENTITY_BYTES = 67108864 (64 MiB)
# widest measured point: 62 operations at 219646 bytes, 0.32730% of the bound
#
# EXACT FIT over every measured point: program_bytes(n) = 3531n + 724 — LINEAR, with a quadratic coefficient of exactly zero rather than a small one.
#   graph_bytes(n) = 0n^2 + 135n + 149
#   THE MECHANISM, stated as the relation a reader can check: the program curve's quadratic coefficient is 0 while the graph curve still grows at 135 bytes per operation. The per-record graph reference no longer scales with the graph, so the product that used to make the total quadratic — one whole graph identity per coverage record, one record per operation — is gone. That is ADR 0104's fold, read off the curve rather than off the encoder.
#
# EXTRAPOLATED refusal point: the fitted curve first exceeds the bound at n = 19006 operations (67110910 bytes at n = 19006, 67107379 bytes at n = 19005).
# THE FIT IS EXACT ON ITS DOMAIN AND THE DOMAIN IS 2..=62 OPERATIONS. Every coefficient above is a property of this one program family: graph identity per operation depends on operation-key length, arity, result rank, and attribute width, and the per-record remainder depends on the region, the reached definitions, and the admission provenance. A different family moves all three coefficients, so this number is the order of magnitude at which the bound becomes binding, not a refusal a caller can rely on.
# IT IS ALSO AN EXTRAPOLATION ACROSS THREE ORDERS OF MAGNITUDE, and the wall below says why no wider ladder is available: the ordinary compilation path refuses this family at 63 operations on semantic_operations, the governed program-size budget itself, so the widest point any measurement can reach is 62 and the refusal point above is 307x beyond it. Widening the ladder further is a budget decision rather than a harness one.
#
# THE WALLS, each compiled and required to refuse with the class and phase named:
#   program size, at 63 operations: CONFIRMED BudgetExhausted before planning — semantic_operations = 62, the one wall about program size and the one that refuses before any target-qualified trace exists [the compilation batch refused: CompileFailure { class: BudgetExhausted, explain: "absent (refused before a target-qualified trace)" }]
#   launch geometry, at 2 operations: CONFIRMED NoFeasiblePlan after planning — the whole-program region's launch geometry needs one thread per element and the declaration measures max_threads_per_grid_axis at 268,435,456, so target.grid-axis rejects every region of every cover and the portfolio is empty — a hard target rejection raised inside the target loop, after the trace is opened [the target slot refused: TargetCompileFailure { failure: CompileFailure { class: NoFeasiblePlan, explain: "26 records" }, refusal: None }]
#   launch geometry, control: CONFIRMED the program one step inside the recorded bound compiles, to a 7796-byte identity, so the refusal above is that bound's and not the session boundary's.
# so the ladder above is the entire domain the ordinary compilation path admits for this family at this extent, and the governed semantic_operations budget of 62 is measured to be the bound that ends it rather than assumed to. Every bound that used to refuse below 62 is measured here to admit instead, and the extent bound beside them is measured to refuse after planning rather than before it.
