# manifest-growth-attribution 194744e6..8bd720b8
# population=107 first-parent landings touching crates/
# probed=109 (the population plus both interval endpoints)
# host=Darwin 27.0.0 Apple M4 Max, 14 cpus; rustc 1.99.0-nightly (eff8269f7 2026-07-18); dev profile
# taken 2026-08-06; two copies of probe.sh over disjoint halves of the list with separate scratch roots
c590ad0c	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
0b72e603	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
58ad25f1	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
d02ae96e	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
912b0241	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
60df3ce5	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
2d37bca2	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
6e72ff37	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
b7dcc2fa	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
70daef2e	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
eed99219	PROBE	total=109103	manifest=83130	identity=53627	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
69a69201	PROBE	total=114025	manifest=88052	identity=56088	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
979736f9	PROBE	total=114025	manifest=88052	identity=56088	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
edaa77b3	PROBE	total=114025	manifest=88052	identity=56088	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
df4956da	PROBE	total=114025	manifest=88052	identity=56088	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
27ed9ee0	PROBE	total=114025	manifest=88052	identity=56088	variants=1	payloads=1	sections=KernelProgramSubject=22894,BackendPayloadMetadata=2974,BackendPayloadCode=0
