# analysis	reduction-tree-width-label-stability
# validation	passed
# cells	188
# widths_per_run	2506
# measured_rows	5012
# percentile_indices	upper_median=N/2; lower_median=(N-1)/2; p90=ceil(0.9*N)-1
# stability_bar	exact>=ceil(0.80*N); movement_p90<=1.0; jaccard_lower_median>=0.50; containment_lower_median>=0.75; reciprocal_plateau>=ceil(0.90*N); regret_upper_median<=1.02; regret_p90<=1.10; regret_max<=1.25
# input_manifest_sha256	24d9c60f8a116a2ed4245d3709b1303127d78c8800c1b6a7e7df5609511ada12
# input	shape-aware	environment=dcd9f787ba6e7eda770cff9af30ec315a04b3b774ca33b50e2d860bf8ca0a2db	primary=e919d79b7ea176dd0b83cbd051302e53fa2cc77ca28e9856545edecc60fd9a7d	repeat=cd6f7d5109669224fb14727fe95291ed36ef0cd951519305df26627bd84ecd3a
# noise_rule	shape-aware	multiplier=2.0	shape-aware frozen ticket + hash.analysis=806e2f41cdfdbc7c02fe936a958b663413f8d6271bdf447ca89f00213e6e6d72
# input	interactions	environment=26af3a8547ad4183d65fcb2497383f109e53e725c406924c6a14945408af1fad	primary=8b9598b0295c394626eda8c645c4605030a77e825650c63594fefbeb4fddcec2	repeat=0434185aed33c21404b06b561f5742fae36469a264c46d251e5417c8237e4b87
# noise_rule	interactions	multiplier=2.0	interaction frozen ticket + hash.analysis_shared=c4f2f807fb90c8b31743d04b362dc4945002350e893ee7b2e0b1fb4c961d8741
# input	table	environment=4776a37581caddb54ef3f1a0a3a5a7837b8bfc282df96f17959979d4b8cf2022	primary=7b63e4779bfd9f247c3ccb49b58260e57a1e69a12ef3772f4de6235fd1ef380a	repeat=3a1975b4ff940345ba3b2fbccbe1c9a750bea4013ebe58cb532938f6e0511521
# noise_rule	table	multiplier=2.0	table environment analysis.noise_band=2 * (SE_a + SE_b)

## Per-cell stability

study	role	shape	primary_best	repeat_best	exact	log2_movement	primary_plateau	repeat_plateau	jaccard	primary_containment	repeat_containment	symmetric_containment	primary_in_repeat_regret	repeat_in_primary_regret	reciprocal_regret	primary_in_repeat_plateau	repeat_in_primary_plateau	reciprocal_plateau
interactions	held	528x785	157	157	true	0.000000000	5,157	5,157	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	528x899	29	31	false	0.096215315	29,31	29,31	1.000000000	1.000000000	1.000000000	1.000000000	1.006681454	1.027258174	1.027258174	true	true	true
interactions	held	528x1008	56	56	true	0.000000000	18,28,36,56	18,28,56	0.750000000	0.750000000	1.000000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	528x1094	547	547	true	0.000000000	2,547	2,547	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	528x1282	641	641	true	0.000000000	2,641	2,641	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	anchor	1056x780	12	15	false	0.321928095	12,15,20,65,78	12,15,20	0.600000000	0.600000000	1.000000000	0.600000000	1.007652268	1.012490741	1.012490741	true	true	true
interactions	anchor	1056x1042	521	521	true	0.000000000	521	2,521	0.500000000	1.000000000	0.500000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	1056x774	18	18	true	0.000000000	18,43	18,43,86	0.666666667	1.000000000	0.666666667	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	1056x783	27	29	false	0.103093493	27,29	27,29	1.000000000	1.000000000	1.000000000	1.000000000	1.004531421	1.000986974	1.004531421	true	true	true
interactions	fit	1056x900	25	25	true	0.000000000	18,20,25,45,50	18,20,25,36,45,50	0.833333333	1.000000000	0.833333333	0.833333333	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	1056x1006	503	503	true	0.000000000	503	503	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	1056x1082	541	541	true	0.000000000	2,541	2,541	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	1056x1280	20	20	true	0.000000000	20,64	20,64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	1056x775	31	25	false	0.310340121	25,31	25,31	1.000000000	1.000000000	1.000000000	1.000000000	1.004008178	1.000100540	1.004008178	true	true	true
interactions	held	1056x785	157	157	true	0.000000000	157	157	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	1056x899	29	31	false	0.096215315	29,31	29,31	1.000000000	1.000000000	1.000000000	1.000000000	1.013009153	1.007353371	1.013009153	true	true	true
interactions	held	1056x1008	18	28	false	0.637429921	18,28,36,56	18,28,36,56	1.000000000	1.000000000	1.000000000	1.000000000	1.006403723	1.004094560	1.006403723	true	true	true
interactions	held	1056x1094	547	547	true	0.000000000	2,547	2,547	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	1056x1282	641	641	true	0.000000000	2,641	2,641	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	anchor	2112x780	15	15	true	0.000000000	15,20,65	12,15,20,65	0.750000000	1.000000000	0.750000000	0.750000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	anchor	2112x1042	521	521	true	0.000000000	521	521	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	2112x774	18	18	true	0.000000000	18,43	18,43	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	2112x783	29	29	true	0.000000000	27,29	27,29	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	2112x900	25	25	true	0.000000000	18,25,45,50	18,20,25,45,50	0.800000000	1.000000000	0.800000000	0.800000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	2112x1006	503	503	true	0.000000000	503	503	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	2112x1082	541	541	true	0.000000000	541	541	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	2112x1280	20	20	true	0.000000000	20,64	20,64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	2112x775	25	25	true	0.000000000	25,31	25,31	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	2112x785	157	157	true	0.000000000	157	157	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	2112x899	31	31	true	0.000000000	29,31	29,31	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	2112x1008	18	18	true	0.000000000	18,28	18,28,36,56	0.500000000	1.000000000	0.500000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	2112x1094	547	547	true	0.000000000	2,547	547	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	2112x1282	641	641	true	0.000000000	641	641	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	anchor	8192x780	39	39	true	0.000000000	39,52,65,78	39,52,65,78	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
