layer	tensor	position	stage	sha256	l2_norm	max_abs_head	max_abs_lane	max_abs_hex	max_abs
1	k_rope	0	prefill	8ccd3faf33b7d65a7cb67265403f460752cc67dcc165d0a66fa487ed318340ad	353.1396101764928	7	52	0x43330d0b	179.0509490966797
1	k_rope	1	prefill	8cea69e97e2ac1e83cb4f5350a29c083729f7486066234dfddfef2628c0d3732	330.79528442384026	1	52	0xc3133da0	-147.24072265625
1	k_rope	2	prefill	1f4db87933425e4cafd970a5dfc3a1bcf7a141d92f65a950cc698696964a04db	342.84666635741627	7	52	0x431e1ac3	158.1045379638672
1	k_rope	3	prefill	be1f834d3477671690158a08d811494871d9aed7fbef46dcb2081110df358586	357.6289413570769	7	52	0x43293cce	169.23751831054688
1	k_rope	4	prefill	6afc08e94ffbab0b3949fef620ae4374105ee8e2901e690d90a86f512493509c	359.70817636242157	7	52	0x432e47f0	174.281005859375
1	k_rope	5	prefill	2ae3878e73c949bbd362ef10950ac1896ae110b22c108406e5a4b9a70343fa30	353.73689095507865	7	52	0x432266eb	162.4020233154297
1	k_rope	6	prefill	852f80c63662dc54e2fa6e19e265bbdb4f3c0ea92610765cf4aeb21a4c434478	342.64962328473655	7	52	0x4332af62	178.68508911132812
1	k_rope	7	prefill	9c77af0a08a4c4dbce3c050016ff2cd2b3549146aa492abc664854d21a8dfdf9	345.5040463377835	1	52	0xc319ef37	-153.93443298339844
1	k_rope	8	prefill	2149af9ec1c71d0bc854d492f2c19fda0a937276f040bf9babb5987998f8a215	349.9272615035786	7	52	0x43203318	160.1995849609375
1	k_rope	9	prefill	7ce6184f58f1600232f24b249a0b2d860edd44df053ab6751355b7500d812dd9	355.9904461777201	7	52	0x43324e7c	178.30657958984375
1	k_rope	10	decode	3785a196b904207ba49243deb7608650c759ade021a30ed387e7c03ee4ccf3a3	348.15313671880784	7	52	0x43234b28	163.2935791015625
1	k_rope	11	decode	05051b522c846883631d9c41e9a8ec665a119178aeefb6a27d4f079f1599c1f6	331.2728947339615	1	52	0xc3120780	-146.029296875
1	k_rope	12	decode	5af73470b14fb7248f7bf2ecdf47fd7d64d4ec826788595e8755c8583223e2df	350.12373541233245	7	52	0x43217fb8	161.4989013671875
1	k_rope	13	decode	09e94325cded5b34032e46afc8f12c7eb7315175a89d4e9739f95c841d5e6dec	361.35941867146755	7	52	0x432be3b0	171.889404296875
1	k_rope	14	decode	2a20de207fdf4e1aaf15c34d77ee32e61fc4d12c90132f0c18fd5de7ee95f22a	362.8488754058847	7	52	0x432dde5c	173.86859130859375
1	k_rope	15	decode	fea60511835e232cd81897d3d410e72bc214cd1a4b8b473c7e1b61b29577f13f	351.6311942218295	1	52	0xc3203161	-160.19288635253906
1	k_rope	16	decode	90ac221d8e2fb41cd3a7ce3723419286ec475ad206601d1a7a15a0906e81d9d1	342.2722313628241	7	52	0x432e87ae	174.52999877929688
1	k_rope	17	decode	69d2d9d324e801ebdf85393d6161c517d37061a249952e96a75b7218baf531a3	347.92572437857393	1	52	0xc31912de	-153.07369995117188
1	v_heads	0	prefill	5526d49733a7b5764ce2817597b65c2c5d9fe00465286e29a06f7b8e15dcf647	2.497826928012552	1	43	0x3f1e38db	0.6180550456047058
1	v_heads	1	prefill	ed6e8af0272278dabc35a0921eccee38ca78f7886dea1bae92f110930b77215c	3.4092160301621153	2	95	0x3ed6052b	0.4180081784725189
1	v_heads	2	prefill	1d46378f04b02a19ecf9ae078216655e7b894fdb2754d23b5448c74a9d6903f7	3.4652695711690042	7	54	0xbef5cfbd	-0.4801005423069
1	v_heads	3	prefill	2877e65b48b3bdfd829377029aaffe6cb1bfe51f7401838f28df6bc39e55bc99	3.561847828025334	4	11	0xbf05b24f	-0.5222520232200623
1	v_heads	4	prefill	0f206fef50346d36fe45446ee57f2ff0e0485c4b5a88aa0afd8c3888ec4030e0	3.570502135692699	4	118	0x3f0ed4d2	0.5579348802566528
1	v_heads	5	prefill	b60ce3c6901b65d5140ed936ae20644f1198d649b3974d5333353e53c29083a5	3.437298854026183	2	123	0x3ecfc7d6	0.4058215022087097
1	v_heads	6	prefill	258899daf826841f0aee34806768bd7d470e523a5aa20e89fca4ecc816011c7c	2.6258481968806295	1	76	0xbee71060	-0.4512968063354492
1	v_heads	7	prefill	280228fef187593aabf5b2a4fd98af26c1f62ec7ee30eae44a164d65764a4d56	3.4108508024626216	4	11	0xbf10f837	-0.5662874579429626
1	v_heads	8	prefill	80f57a26198a2a469962a84be955efa2ad754339774ad7dc605389dae867f652	3.7179313123080435	0	73	0xbf323649	-0.6961408257484436
1	v_heads	9	prefill	a38e3c6816fb8e56601db03cbb307a6cbc7c9629472ea05e13d3a94292f69fef	2.2228695688678446	4	72	0xbef8e424	-0.48611557483673096
1	v_heads	10	decode	1072346c3a54357b7d3d44fe47e788c3d8ce9115c88d1d8dd2ed931440563210	2.5442404827783154	5	43	0xbf051462	-0.519842267036438
1	v_heads	11	decode	29146941d90eb1881e240c1e9d42be13319cee1daf00487821fbd4af1954d268	3.371486965751037	7	54	0xbecdd433	-0.4020095765590668
