position	lane	cos_hex	cos	sin_hex	sin
10	112	0x3f7fffff	0.9999999403953552	0x39a5cb5e	0.00031622772803530097
10	113	0x3f800000	1.0	0x39859aa9	0.00025482967612333596
10	114	0x3f800000	1.0	0x395753e4	0.00020535249495878816
10	115	0x3f800000	1.0	0x392d8528	0.00016548170242458582
10	116	0x3f800000	1.0	0x390bd471	0.00013335213589016348
10	117	0x3f800000	1.0	0x38e15c92	0.00010746078623924404
10	118	0x3f800000	1.0	0x38b59b1c	8.659643935970962e-05
10	119	0x3f800000	1.0	0x3892587f	6.978306191740558e-05
10	120	0x3f800000	1.0	0x386bdcf1	5.62341338081751e-05
10	121	0x3f800000	1.0	0x383e1182	4.531583545031026e-05
10	122	0x3f800000	1.0	0x38192a46	3.651741280918941e-05
10	123	0x3f800000	1.0	0x37f6da96	2.9427272238535807e-05
10	124	0x3f800000	1.0	0x37c6ecdd	2.3713737391517498e-05
10	125	0x3f800000	1.0	0x37a04d67	1.910952960315626e-05
10	126	0x3f800000	1.0	0x37812dac	1.539926597615704e-05
10	127	0x3f800000	1.0	0x375031df	1.2409377632138785e-05
11	0	0x3b910572	0.004425697959959507	0xbf7fff5c	-0.9999902248382568
11	1	0xbf58d3d4	-0.8469822406768799	0x3f081853	0.5316211581230164
11	2	0x3f270583	0.6524278521537781	0x3f420283	0.7578508257865906
11	3	0x3f5d478b	0.8643729090690613	0xbf00bade	-0.5028513669967651
11	4	0xbd96db3c	-0.07366034388542175	0xbf7f4df7	-0.997283399105072
11	5	0xbf53ccb7	-0.8273424506187439	0xbf0fcb6f	-0.5616979002952576
11	6	0xbf7ddcac	-0.9916484355926514	0x3e0410db	0.12897054851055145
11	7	0xbf4170c6	-0.7556270360946655	0x3f27ae38	0.6550021171569824
11	8	0xbec06f12	-0.37584739923477173	0x3f6d3b01	0.9266815781593323
11	9	0xbbb4cc22	-0.005517498590052128	0x3f7fff01	0.9999848008155823
11	10	0x3e97918d	0.2960323393344879	0x3f74868a	0.955177903175354
11	11	0x3f05306b	0.520270049571991	0x3f5a9fdd	0.8540018200874329
11	12	0x3f2dbb83	0.6786424517631531	0x3f3c0625	0.7344687581062317
11	13	0x3f497e74	0.787085771560669	0x3f1de976	0.616843581199646
11	14	0x3f5c245c	0.8599298000335693	0x3f02aa63	0.5104123950004578
11	15	0x3f688486	0.9082721471786499	0x3ed635e5	0.41837993264198303
