layer	position	stage	sha256	l2_norm	max_abs_lane	max_abs_hex	max_abs
2	0	prefill	af8455c6b59dde98ba0afcbeee57cf5867ba0d384a075bd8d676d365d1451a16	6479.215326814201	35	0x45c8f802	6431.0009765625
2	1	prefill	408f80c6b7b335258c8b060944775bdc7fd820c4c7b10dd34455041cd188865e	15.445132310872944	35	0x409b38ec	4.850698471069336
2	2	prefill	981df7d59890cab7f68b2787aef27fe668217666bf6c439ecc6e6b2c1f1922d3	15.811029371111962	35	0x4088e080	4.27740478515625
2	3	prefill	10ac9be407b0e9034bff4acb988415f4f67c9f577633841278ef593294a3d9f5	14.769202425441195	35	0x40691081	3.641632318496704
2	4	prefill	8b8ff7187fccb13349df8fcd35749b4cd9b7356f7f81528c371a03e3830f5637	15.588742262551591	35	0x40ad7b0c	5.421270370483398
2	5	prefill	b85c8945fbfca9cc2366582fa97c686ce7f02c0e5bb20df495af1975b8569ee9	13.9500188545069	35	0x40899b58	4.300212860107422
2	6	prefill	1ef7370c74ca57f7f4f9a5d5207bcdc64e0779b0d602d1b7b7c9b02c6f2fe870	12.231255139186246	35	0x40caade6	6.333727836608887
2	7	prefill	4cac23aae7abec30283657ad40448181910a2869a27e517674d25f7129367eae	15.502318816949503	35	0x409d238b	4.91058874130249
2	8	prefill	526c4e2b68efca73697e7fe8903fdc09574a31932fbba44292ef90d83c0a8ba0	14.279173014341875	35	0x40b86c74	5.763238906860352
2	9	prefill	847a166019cd50adc667d269010eb93c40cd32e13e7ecf085986030ba3e2f36e	10.120560956193932	35	0x40c56cba	6.169522285461426
2	10	decode	63509f4702544b0e83bb4de87dc1aa0592245d067356ae62b4ebafe801169c5f	11.41104438123422	35	0x40ba2710	5.817268371582031
2	11	decode	25fa5539eafdbae9e86155dbd570f4d579f1275e62dd55c2d7d69f13a4dde42d	14.33015311413631	35	0x408b7c31	4.358910083770752
2	12	decode	6a8d680f6266e8634df7749fc231334f9d9f6a5e76d2ec332b821d693a18ffee	15.491241956779502	35	0x40794c50	3.895282745361328
2	13	decode	24b5ae00c7c47c4cb787770186e9c475723e77a4d73b8a5d67078c01fb75ea57	14.635955385081884	35	0x408525f9	4.160885334014893
2	14	decode	fcc7113916b32a2517a092992b8f4215de13d90bc4edebf87acb2283c18e79c0	15.326524943214814	35	0x40b5afb5	5.677698612213135
2	15	decode	895a48ef332c7cddf948d9c4b23ff1477ddcefd53f8223df62a466ab09297483	13.669060240560823	35	0x408ca287	4.394839763641357
2	16	decode	badc9a6efc428fb43cf402c81e74bffc60b5c0cd28bd0852bf8d654cd267378c	11.992443227322232	35	0x40cb8071	6.359428882598877
2	17	decode	ef347c0f11c563c8c93ae5e873ef76c2e732adcb58875079fb4deacb92f532f5	15.619576390100507	35	0x40a840fb	5.257932186126709
3	0	prefill	08d43640d6f3d7f75a13b0fae9fece2eb32acafb3d371df7f16dc70711a4d305	6478.551286785725	35	0x45c8f293	6430.32177734375
3	1	prefill	837db4f1df50f2098e5e875599c1555db5fe2722ebdd42fedd55cb9e63cb59a0	17.822136804075626	35	0x40eae554	7.340494155883789
3	2	prefill	0208a3038f4cb7bc86dd5e03f547f60076fd525e54dbf59b61e27c7ccc3ad617	18.710151193000794	35	0x40a6d9ca	5.214085578918457
3	3	prefill	1285f48da850d2caf963b72387609e9a817bd13c02816b3e12758415066a1952	16.74562348473591	35	0x40ade6ae	5.434409141540527
3	4	prefill	158cc94568a57a42f059c8635b474d3aed2929f9c632f091adead7f72598789e	17.80098475434089	35	0x40e53378	7.162532806396484
3	5	prefill	7acb1225c7acec3410e05f965c51d0aedbc3334262a2876522e1c77e04e13e45	15.931572497655266	35	0x40917767	4.545825481414795
3	6	prefill	a972f091801ad0f1012d458fe22424d6251451c19efb2583c9c9f7cf4b98ff88	16.312665036976327	35	0x410ef56f	8.934920310974121
3	7	prefill	7bc841889a374e0a5d42215f02efa8c947f8613753f07c445ee0016d01af051c	18.825267864327273	35	0x40eaff00	7.3436279296875
3	8	prefill	a9e49e5056386662f8215b9166ca10a88372516c99ab60e35e2323458a4c4763	16.692209184797974	35	0x40f3b067	7.615283489227295
3	9	prefill	79e1a410713fa1c274105eb7e702c6ce93639f894e4e7a78808740b75406c400	13.531026084288467	35	0x410bb31c	8.73122787475586
3	10	decode	0abdc77b0bd1a1e6ffe876a35ac8984aa3ef9ed98f927ed92700220381473a62	15.916571569269111	35	0x4111bdcc	9.108837127685547
3	11	decode	5412effc2771cac1ff3e4c0fc2bd11ccdfce41a962defc6e202848c62ae22df8	16.61986509325033	35	0x40c995f3	6.299554347991943
3	12	decode	0abdd631c3fcd1aebf250d8cad55ed0207943bbd9c47875802f2231c8ab84179	17.66456745283089	35	0x40930733	4.594628810882568
3	13	decode	595c6aebd837328087bebcf68409c38257fd9f91efd4768a9073846a54a0195e	16.568334272456845	35	0x40ba6d92	5.825875282287598
3	14	decode	078de829d1fdf739c75c1fed966fdfa237d4293eb432c06e813285af720b96df	18.024468727056643	35	0x40f47812	7.639657020568848
3	15	decode	143d625ae4855058d355fc579322ebbf8f1724c998bab4f9ca697e955ab8132e	15.69061544954665	35	0x409e8c95	4.954660892486572
3	16	decode	d20671e6916be59594b7e203b15d6ffe9c4e98ddc901b91e6f074161be754adb	16.129678133231835	35	0x4111421f	9.078642845153809
3	17	decode	fb4ab3ae9a2c6c4f83dfa80ec4709d06ffb940e46c0c396b9529a760e44df173	18.337742188305665	35	0x40e843e8	7.258289337158203
4	0	prefill	4fc9d6670c3f59ee2f66eb6e9d3d63cc2b0bfaf2129d37b2fb160e8c4a8cc48d	6478.098058068317	35	0x45c8eeeb	6429.86474609375
4	1	prefill	aae6eab8387954bea8fff599aed8bb7ec51d7275bea40891983eb53dfbb5dbbf	21.434596740105828	35	0x40d24fd3	6.572244167327881
4	2	prefill	a54f0bde2ad802c208dfd34cbb4fd59e03b941834d90adbfaac2dcac0776cafc	18.766527784203436	35	0x40c0acb8	6.021083831787109
4	3	prefill	aa52389498657aa60fa8b5c61b9f355c96472f52692be06ed036d41b9b0224f6	19.37730376934615	35	0x40d3478b	6.60248327255249
4	4	prefill	20370f55ad4cc529c1f0d0f8879bad43475172e1388b8f0ebec37eb00d38f215	18.96954943030034	35	0x40f0ab26	7.520892143249512
4	5	prefill	2f2dfbc5393a5aded616e95b3648554453e6ea6fdc5a2cdaa8c2c9659d2bb887	17.46187221097385	35	0x40a05e59	5.01151704788208
4	6	prefill	d0df8be9c4e506b81d118da334bbf4d976187ae1c9cd71dfdb3744d961ec11e8	16.651459191561806	35	0x4108a834	8.541065216064453
4	7	prefill	a4dc9a39cec5caa6379f4a570808db9ae4699fdac5593c790a24318c41be740e	22.478632506874558	35	0x4107a011	8.476578712463379
4	8	prefill	0e6625a1747ae1bf0018f2e310df79fb14ef26b8fc1b91f220c475a7f505d550	18.767308999795663	35	0x41062208	8.383308410644531
4	9	prefill	94605c15c2a17cee964ffe61e2ecc6ea6aff48160dc3b13d1c19f5c80425fbd5	15.112620346849418	35	0x41283518	10.512962341308594
4	10	decode	f4ad7732174b21e5cccad9d8cc18d986ff44d00975e5d59390d017ca2bb56110	16.94863889979686	35	0x411e4aca	9.893259048461914
4	11	decode	804c1da6242628204de52d081214f4d2277a26f5620461d51e90edb3969cd240	19.48742306375535	35	0x40d11d01	6.534790515899658
4	12	decode	a883cb0c71937874263611e2f5c688a4e23484b52fcd7768f04a73edfbdb84d0	18.71031144604923	35	0x40cc3b2e	6.382224082946777
4	13	decode	f7c94a3a2bd9b582f16b87ee5806456c2c4018bbd10d0197874c94b425310bbb	19.639758515693174	35	0x40f932d2	7.787453651428223
4	14	decode	23a621d25ade47d39511333e7a7353c55c3548064ca905b1e92eb4915c8be34c	19.49574178124031	35	0x410a96c6	8.661809921264648
4	15	decode	0f5bb50f79a1035f73e051d5dfb35161007204f4af0f904c1d9a7715ee7e09f9	17.470119245735965	35	0x40bf798b	5.98358678817749
4	16	decode	fb9592a015c606cbae322d4ec98a831ba0a4d3889a27eea3c0a0a6c56ea3fea8	16.63421468658003	35	0x4112820e	9.15675163269043
4	17	decode	c175637ae5883be05d846428e3698f3d7e59ec0bdb326e385fe271f455e9acc5	21.5501944946681	35	0x41157b63	9.342623710632324
5	0	prefill	8c7c8c7296511224f8f4c16eba44a1b532be3cf465d23aefbb8bcf723f66639a	6478.055425423663	35	0x45c8ee90	6429.8203125
5	1	prefill	9ac119ce7f8ea2da36355f6a6877a7ea7eb422f5f0fb0a7ec104d79a361614d3	25.851530117605538	277	0x40afb139	5.490383625030518
5	2	prefill	9711ae731d480d615a49b972b56391a61dbff3c5fae548c438656beb458d34f1	27.07846152003889	265	0x40b36899	5.606518268585205
5	3	prefill	5309f296bc37f04bf5ffe530234eb913166455409a41189e9b58b3c301a741d8	26.885774176003164	35	0x40cd8054	6.421915054321289
5	4	prefill	5cff6f9f5350120ea0e86592df11a3d694733580240a4cc2b863dbb944db5c69	22.85277208928594	35	0x40c0ce45	6.025179386138916
5	5	prefill	5a4cbba23fa4187d3faa07cf6708ba8d30b6b0d9bef9a5997b44ad80ac3c0fa8	24.85835373120289	277	0x40990c10	4.782722473144531
5	6	prefill	382dea21a4d308f05d70db1dc07663d24feec0047607944ac734a2b58dfe63e5	21.947033369349743	35	0x4100ccc1	8.049988746643066
5	7	prefill	6e5771f280b25e3c2352a3ac9455b94714b70a960e69f9891b73379076ae81ec	25.04687454008543	35	0x4107451c	8.45437240600586
5	8	prefill	2de261fbc6ba84ef95e5bc201a95860e94ba6fa582d7b322b7605ecfe1458123	22.31900539184845	35	0x40ff12ea	7.9710588455200195
5	9	prefill	cb26762328ee49f9678e08eb51fb0f6466b30f0389a235f602534e2779588fd7	18.044330044415553	35	0x4148a2eb	12.539774894714355
5	10	decode	991995aa6450b20edf343ab768a8beedd8596354f5981dd8dd5319091b832eac	18.830754016627882	35	0x41309b6a	11.037942886352539
5	11	decode	653a1eee25a823e9ab0a03d763cb9a708022786e716060e18577eeb4df12f18d	20.961247135300702	35	0x409bf882	4.874085426330566
5	12	decode	f45db358af68c41712b449bec5a8eb6acfa287e9b58dbd2aed6bf75d67b75364	25.042877275131595	265	0x40a4063c	5.125761032104492
5	13	decode	04bfab728ec1b5a1d33f309a1a6ede0de1826f62d13fc27bcf97eff50eb45e68	23.692740820152686	35	0x40eaf383	7.342225551605225
5	14	decode	9e22d39a3364f9fa9f63b9b16ee396b2933d1eba60e77086a0d40f2e1d2f6f96	21.709803230522372	35	0x40e6ea52	7.216103553771973
5	15	decode	d164afb7372f0f6a6d9811a2ade8357ea06be932c5efcb52604327cb6bacd088	23.012885253454158	35	0x409e5b55	4.948648929595947
5	16	decode	6000da4a6858f19add26248bd775eff8173741c74af140ef114e9f44ac0dee10	19.71211076953143	35	0x4117e7a7	9.49405574798584
5	17	decode	863b82dcfb50a707873cc574a25b2204efb4fe7e389a6d95b9bcf5d4407c8b12	23.365855866890655	35	0x410f7e35	8.96831226348877
6	0	prefill	43c27d83b19a177cc586fbb2daf12c55b1546ad6a0e3bd0fe3fdfc218b807138	6476.25528944083	35	0x45c8dfb5	6427.96337890625
6	1	prefill	b31b51d8bf873dabe409ae93088d13e1e6f2321a4853dae27ba7dbac0cbfed30	26.48523881180143	277	0x40a6c3d3	5.211404323577881
6	2	prefill	3d43a272417e84cf55c22682677043c04cde88f604bae9460f78f11ddca57a19	31.92831467393248	265	0x40c1cb09	6.056034564971924
6	3	prefill	1a2f0d66ee167b25614d1f82ef0adf5cad34a20ba85f18e60efcd497814d2532	31.73220191349603	35	0x410c3c34	8.764698028564453
6	4	prefill	640fc17c30dd923c18f0cd60b01d45c46ac3f79e4e20ddc5f48dda883a13726a	25.77947307006555	35	0x40c27f88	6.078067779541016
6	5	prefill	9d68d09f7dabe822e9aecd1cf1252c2e5a4456b19ec8f45bc09bcaec9d7a49f2	28.687597179646975	277	0x40a4d801	5.151367664337158
6	6	prefill	2b0e9623f629dc6693642525e81c5fd2679e0a83a595ee283618260d11d0cca2	25.4395789607734	35	0x40de953f	6.955718517303467
6	7	prefill	2780e15d171576cf4ba584d604022caa37e5817a105704af5897d8d4623ab932	25.96799796344176	35	0x4100dd97	8.054099082946777
6	8	prefill	8cf208ccc4482338388cd3df1a03ce6be42018c0c01f9dacf912cee47f6cfe6a	23.750788781707893	35	0x4105ba52	8.357988357543945
6	9	prefill	8085196a70201b7c89e666d076d8b0fd536aacaa9386b57dc485f5d5bb694988	18.52400979528294	35	0x4140fe64	12.06210708618164
6	10	decode	c5060a2a2396ba96145810eaf4f40e434df70df9b855d9c12c7dfc77013b923c	19.438522252349326	35	0x4128d626	10.552282333374023
6	11	decode	6efaff941ec6b9b18dffa97b23c1c18d8c4b9f3e93328eb86aa3b29bf8648607	23.04165276014439	35	0x40b356de	5.604353904724121
6	12	decode	37b455634e438c086b505865a3c28a62b823f389fb109da528a98a989cd2df84	30.053479800987645	35	0x40e7d490	7.244697570800781
6	13	decode	709c6ef6896019245e475ff221db913d83509c7355bba60860bef46ee4757841	26.100906602832648	35	0x4112ac32	9.16703987121582
6	14	decode	69180ae218f248fc9a49a5581fa48c65085889815e85c10d02017061d094026d	23.607791089771528	35	0x40e640dc	7.195417404174805
6	15	decode	93529e0ee65fa184a473c1e516123b107a4cc50617b6d6d5bf41cd725d71e500	26.39327120525	35	0x40d903e6	6.781725883483887
6	16	decode	80009bef94976f3bcd092b213651bf0eb19799d1684a10e60959ac86305caded	22.136667257447577	35	0x41124285	9.141240119934082
6	17	decode	37987a1301071f5f12850040657c26c4e28a719c014e8adb0e3d2b66e8ea8c6c	24.38808223933365	35	0x41140827	9.25199031829834
7	0	prefill	7007a056404d8f65fafafb5a805d5921d0c60d6e7490464014c1d7ea266bc3ca	6474.479560712769	35	0x45c8d121	6426.14111328125
7	1	prefill	8b77c4836b3de8cbd9131730b78adc2cc8bd8e862fea787b05ed98ce3b0159ae	28.828278725869033	35	0x4113e10b	9.24244213104248
7	2	prefill	332a07a19f46e3e8e0963ccd73cf650f7ad5b32578ed2e35a3d8b0093f4fe7c0	32.9226319205242	35	0x40c5ad1a	6.177380561828613
7	3	prefill	5d95c78d7c8665e96f53d1d22cfde49ebfddc90a21da48525825c4de5aa45ccd	32.81250201788845	35	0x410893a0	8.536041259765625
7	4	prefill	192e8c7ae0d972f75e31c6f94ef2625a7575f57bf84d95befb7889885b1f859e	28.62140661204235	35	0x40c2c1bc	6.086149215698242
7	5	prefill	8029092e76b9b811b607833540840c5618ecca6bd11864f5a35d486faf899a93	30.890463218267328	277	0x40a6bf15	5.210825443267822
7	6	prefill	04718546984244df91ce3c3857ef49f4ce6790a512c73b6fab10ccc630879bc9	26.164164772900683	35	0x40f9d59a	7.807324409484863
7	7	prefill	6532eeac068527c4ecc6ffdd8b696adcc273ab7cdbd091ba908dfdbc10df6963	27.531702794880008	35	0x411515ca	9.317819595336914
7	8	prefill	eaa4e6f12062982c45ec75f7dbc20b0cdce0b218492865595fad198f7f5a2ccc	25.008853828627274	35	0x410ae1eb	8.680155754089355
7	9	prefill	25ff7481dfa5f0f7c6ab5f3a8e0a4f5d801d5748c3f07154c2fde14e63684daa	21.040066531659782	35	0x4155ed05	13.370366096496582
7	10	decode	f1ecedc1a727153e67c936e50b51ba8240e37c0309dc95c4f294a3384b2e2d6a	20.268151138133014	35	0x4119bca0	9.608551025390625
7	11	decode	7441a920e6eeed62970075f3261b367582a182a704e4865c380a7f06c477681d	24.134179616452474	35	0x40b60d9d	5.689161777496338
7	12	decode	4ce2343f246c81e0327a52b5f93cef74454430e9306c3f0afcbeda7a65e02662	29.551898137812366	35	0x40eaaca3	7.333573818206787
7	13	decode	c1e5ea3bceb391bf7d9cbc7296f3053222b62aaeda815f272d1949698c396e41	25.486426032550785	35	0x410107de	8.064420700073242
7	14	decode	d9b26a3d062022a4071dcf683481c0c07e4e0a99b2e659fedb288faac25e69cb	24.909543517045833	35	0x40ba6541	5.824860095977783
7	15	decode	e733e74c001386742d3c299cb584d7afb9b7febdbc2f09731b3ec187847c316a	26.531353676601444	35	0x40c42940	6.130035400390625
7	16	decode	f0f9e56f229871375204beae1f5603dbafedfb64a951ee9b7da768fda807a358	33.29970575912761	7	0xc0a16962	-5.044114112854004
7	17	decode	e0a265f6afde3de250352d983a139ffb9db9d62bb45efa2733130b252fd46ef1	24.98490944599597	35	0x41130a10	9.189956665039062
8	0	prefill	8fbba43ffbb0e020c315949059814ca5d26cf794e517ff730f2537d55676bf0b	6470.710476987664	35	0x45c8b219	6422.26220703125
8	1	prefill	618aa3915f8988b2671c32bcc078b277d91faf58c2ebddad030be410f26fc231	30.896728536267243	35	0x412a3ef2	10.64036750793457
8	2	prefill	5dd40a8a5e02da49ba6ac3ee76e8a668f2eca77216324b1cc5a9a97264e53ef7	33.3918712099892	35	0x4103fb3e	8.248838424682617
8	3	prefill	e6fdd6a0e259ceee6184d5929edb1f680e8ad1552163ab22847916c668c65754	36.832532098743606	35	0x413e2537	11.884085655212402
8	4	prefill	b386fc34a652bdbb1e7f16952e37b2c44b49b66365142f6592a855ffc3f35fb4	31.651888654811366	35	0x40efa981	7.489441394805908
8	5	prefill	9e4afd644676ef7de65ad6dc4286bc53c3972ce5f92bb763b6244e7f4d080871	37.23060493732268	277	0x40c1dc26	6.058123588562012
