# spike	reduction-tree-width-table
# mode	TreeWidthTable
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	5d7d2d13daffbf05d002c2cf7438522bf303fd688f9c69b1017eebf5a427938e
# load_before	3.73 4.07 4.37
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16	1215	19440	single-workgroup-tree	9	135	-	9	48	2	30	64	132.500	164.875	182.209	32.786	1102.708	1326.334	1586.583	242.850	15.4001	18.4359	4.3752	measured
16	1215	19440	single-workgroup-tree	15	81	-	15	64	2	30	64	117.000	145.333	164.791	19.526	457.916	505.750	600.584	67.364	5.4114	5.7209	1.3792	measured
16	1215	19440	single-workgroup-tree	27	45	-	27	112	2	30	64	109.791	147.750	163.333	21.189	439.750	484.791	548.125	50.494	5.2374	5.3499	1.1378	measured
16	1215	19440	single-workgroup-tree	45	27	-	45	192	2	30	64	116.917	148.667	162.292	18.580	438.083	483.834	552.917	44.942	5.0979	5.3201	1.0083	measured
16	1215	19440	single-workgroup-tree	81	15	-	81	336	2	30	64	116.375	145.792	157.208	17.564	409.334	471.125	566.834	57.159	4.6501	5.1640	1.1861	measured
16	1215	19440	single-workgroup-tree	135	9	-	135	544	2	30	64	122.084	153.792	169.750	34.516	668.417	764.750	931.417	110.499	8.6720	9.6977	2.3018	measured
16	1215	19440	single-workgroup-tree	243	5	production	243	976	2	30	64	116.333	148.000	164.542	18.405	533.209	560.959	694.250	71.718	6.6171	6.5549	1.4305	measured
16	1215	19440	single-workgroup-tree	405	3	-	405	1632	2	30	64	130.542	160.292	180.500	53.476	931.041	1022.500	1297.417	178.073	12.7063	13.6858	3.6754	measured
16	1320	21120	single-workgroup-tree	2	660	-	2	16	2	30	64	164.500	173.500	204.042	40.527	3453.250	3500.584	3543.333	41.884	52.2024	52.8109	1.3081	measured
16	1320	21120	single-workgroup-tree	3	440	-	3	16	2	30	64	151.375	158.292	187.208	13.387	2413.084	2455.083	2548.333	48.293	35.9001	36.4570	0.9790	measured
16	1320	21120	single-workgroup-tree	4	330	-	4	16	2	30	64	114.375	121.500	159.333	32.098	822.375	863.917	920.958	36.671	11.2381	11.7844	1.0916	measured
16	1320	21120	single-workgroup-tree	5	264	-	5	32	2	30	64	137.083	141.917	170.375	18.824	1623.209	1675.250	1760.792	56.188	23.5893	24.3386	1.1907	measured
16	1320	21120	single-workgroup-tree	6	220	-	6	32	2	30	64	119.417	132.166	159.709	32.010	916.708	943.084	960.833	20.632	12.6554	12.8717	0.8356	measured
16	1320	21120	single-workgroup-tree	8	165	-	8	32	2	30	64	112.083	122.708	148.583	13.053	722.083	755.375	784.666	45.954	9.6825	10.0423	0.9366	measured
16	1320	21120	single-workgroup-tree	10	132	-	10	48	2	30	64	123.541	131.542	165.834	14.574	1032.041	1066.292	1085.458	42.728	14.4206	14.8373	0.9095	measured
16	1320	21120	single-workgroup-tree	11	120	-	11	48	2	30	64	112.458	122.667	152.042	14.174	439.292	478.375	538.458	47.309	5.1878	5.6462	0.9759	measured
