# analysis	reduction-tree-width-table
# validation	passed
# shapes	70
# arithmetic_variants_per_run	1265
# measured_primary	1265
# measured_repeat	1265

## Prime-factor records

contributors	v2	v3	v5	v7	Omega	omega	smallest	largest	encoding_hex
held	1536	1925	default	-	-	0.000000000000	8.103287808412	275
held	6144	1050	default	-	-	0.000000000000	7.714245517666	210
held	6144	1155	interpolated	1080	1215	0.555555555556	5.962962488860	55
held	6144	1274	interpolated	1215	1320	0.561904761905	6.173831934998	91
held	6144	1430	interpolated	1320	1512	0.572916666667	6.578859944648	110
held	6144	1575	interpolated	1512	1638	0.500000000000	6.742537281849	105
held	6144	1925	default	-	-	0.000000000000	8.103287808412	275
held	12288	1050	default	-	-	0.000000000000	7.714245517666	210
held	12288	1155	interpolated	1080	1215	0.555555555556	6.591868044095	105
held	12288	1274	interpolated	1215	1320	0.561904761905	6.658472812129	98
held	12288	1430	interpolated	1320	1512	0.572916666667	6.947217814713	130
held	12288	1575	interpolated	1512	1638	0.500000000000	6.631341071181	105
held	12288	1925	default	-	-	0.000000000000	8.103287808412	275
anchor	16	1024	default	-	-	0.000000000000	8.000000000000	256
anchor	16	1729	interpolated	1638	1890	0.361111111111	5.874800395908	91
anchor	384	1024	default	-	-	0.000000000000	8.000000000000	256
anchor	384	1729	interpolated	1638	1890	0.361111111111	4.381161460036	19
anchor	1536	1024	default	-	-	0.000000000000	8.000000000000	256
anchor	1536	1729	interpolated	1638	1890	0.361111111111	4.381161460036	19
anchor	6144	1024	default	-	-	0.000000000000	8.000000000000	256
anchor	6144	1729	interpolated	1638	1890	0.361111111111	6.582346345951	91
anchor	12288	1024	default	-	-	0.000000000000	8.000000000000	256
anchor	12288	1729	interpolated	1638	1890	0.361111111111	6.440262298986	91

## Held-out summaries

run	family	worst	upper_median	plateau_misses
primary	target-private-table	2.794883	1.031449	16
primary	prime-factor-signature	1.318962	1.005762	7
primary	selected-family	1.318962	1.005762	7
primary	production-nearest-256	3.150855	1.072583	27
repeat	target-private-table	2.542376	1.025240	15
repeat	prime-factor-signature	1.439519	1.006505	10
repeat	selected-family	1.439519	1.006505	10
repeat	production-nearest-256	3.165281	1.070154	28

table_support	false
signature_support	false
support_verdict	finite-population-insufficient

## Repeatability

population	upper_median_relative_p50_difference	maximum_relative_p50_difference	plateau_agreement
all-widths	0.026709	0.516193	-
selected-held-out	0.031669	0.438394	25/30

## primary anchors

rows	contributors	raw_minimum	table	signature	production
16	1024	64	256	64	256
16	1729	91	91	91	247
384	1024	16	256	64	256
384	1729	19	19	91	247
1536	1024	16	256	128	256
1536	1729	91	19	91	247
6144	1024	64	256	128	256
6144	1729	133	91	133	247
12288	1024	64	256	128	256
12288	1729	133	91	133	247

## repeat anchors

rows	contributors	raw_minimum	table	signature	production
16	1024	64	256	64	256
16	1729	91	91	91	247
384	1024	16	256	64	256
384	1729	19	19	91	247
1536	1024	16	256	128	256
1536	1729	91	19	91	247
6144	1024	16	256	128	256
6144	1729	91	91	133	247
12288	1024	64	256	128	256
12288	1729	133	91	133	247
