# spike	reduction-tree-width-table
# mode	TreeWidthTable
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	5d7d2d13daffbf05d002c2cf7438522bf303fd688f9c69b1017eebf5a427938e
# load_before	2.94 2.77 3.19
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16	1215	19440	single-workgroup-tree	9	135	-	9	48	2	30	64	125.541	168.583	190.500	17.053	916.750	997.084	1136.958	84.694	12.5589	13.1508	1.6150	measured
16	1215	19440	single-workgroup-tree	15	81	-	15	64	2	30	64	121.750	158.541	182.667	15.316	414.875	451.250	510.666	71.677	4.6528	4.6462	1.3808	measured
16	1215	19440	single-workgroup-tree	27	45	-	27	112	2	30	64	121.041	159.792	177.750	15.572	387.500	418.000	457.417	22.082	4.2295	4.0985	0.5977	measured
16	1215	19440	single-workgroup-tree	45	27	-	45	192	2	30	64	114.167	159.750	181.708	18.039	389.000	419.958	471.042	37.600	4.3624	4.1303	0.8832	measured
16	1215	19440	single-workgroup-tree	81	15	-	81	336	2	30	64	117.125	160.875	182.333	40.813	386.667	415.959	521.458	55.934	4.2784	4.0490	1.5357	measured
16	1215	19440	single-workgroup-tree	135	9	-	135	544	2	30	64	116.958	158.750	181.875	20.634	582.875	626.833	708.625	46.515	7.3955	7.4299	1.0659	measured
16	1215	19440	single-workgroup-tree	243	5	production	243	976	2	30	64	118.791	157.833	178.084	14.610	463.084	513.000	568.750	31.274	5.4650	5.6376	0.7283	measured
16	1215	19440	single-workgroup-tree	405	3	-	405	1632	2	30	64	118.250	154.708	174.916	15.465	778.834	802.625	904.208	50.658	10.4855	10.2844	1.0496	measured
16	1320	21120	single-workgroup-tree	2	660	-	2	16	2	30	64	165.916	177.958	221.958	34.924	3516.250	3669.666	3736.833	68.646	53.1799	55.4239	1.6440	measured
16	1320	21120	single-workgroup-tree	3	440	-	3	16	2	30	64	153.334	162.333	197.500	41.739	2471.541	2631.833	2693.458	73.643	36.7969	39.1984	1.8315	measured
