object_bytes	arena_chain	envelope_bytes	phase	peak_bytes	peak_over_envelope	retained_bytes	requested_bytes	calls	largest_blocks	verdict
0	2048	70013	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 69944 }
0	2048	70013	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	2048	70013	forged/identity	332052	4.74	24	1162231	22844	168572 84286 65856 65536	artifact.integrity: ArtifactIdentityMismatch
0	4000	89533	build	651681	7.28	0	1676650	40426	154558 128320 128320 96240	built
0	4000	89533	encode	506716	5.66	0	1667520	40284	154558 128320 96240 89533	encoded
0	4000	89533	decode	452992	5.06	182099	1894598	44354	154558 128320 96240 83968	decoded
0	4000	89533	identity	240438	2.69	154558	488773	42	154558 77279 65536 64160	derived
0	4000	89533	re-encode	328224	3.67	89533	754170	65	154558 89533 83968 77279	re-encoded
0	4000	89533	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 89533, actual: 44766 }
0	4000	89533	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	4000	89533	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 89533 }
0	4000	89533	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 89464 }
0	4000	89533	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	4000	89533	forged/identity	452992	5.06	24	1714275	44317	154558 128320 96240 77279	artifact.integrity: ArtifactIdentityMismatch
