sample_index	series_key	observation_index	duration_ns
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	24	3917000
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	25	3932333
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	26	3930041
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	27	3916625
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	28	3926125
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	29	3918375
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	30	3913000
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	31	3929959
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	32	3914000
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	33	3915583
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	34	3919000
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	35	3903250
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	36	3923250
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	37	3911625
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	38	3912750
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	39	3929042
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	40	3909416
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	41	3917084
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	42	3916459
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	43	3914625
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	44	3915375
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	45	3916625
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	46	3919917
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	47	3907958
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	48	3929583
1	1:external-vertical:targets=1:providers=1:kind=propose:program=five-op	49	3917917
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	0	3873500
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	1	3871209
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	2	3861209
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	3	3880209
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	4	3865375
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	5	3868833
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	6	3873542
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	7	3863000
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	8	3876542
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	9	3879709
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	10	3881166
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	11	3872292
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	12	3861000
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	13	3877417
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	14	3866333
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	15	3870334
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	16	3870750
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	17	3865292
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	18	3866166
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	19	3867292
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	20	3864167
2	2:request-five-governed:targets=1:providers=0:kind=empty:program=five-op	21	3867291
