# cache-hot-path-efficiency; host=Darwin 27.0.0; cpus=14; rustc=rustc 1.99.0-nightly (eff8269f7 2026-07-18)
# cpu=Apple M4 Max
# scratch root=/var/folders/7k/00gbj8p92d938w7bqf3k78040000gn/T/tiler-cache-hot-path-efficiency-37973-1785876204365466000
# load average at start={ 3.99 10.15 14.42 }
# repeats=8000 warmup=64 cold-children=48 publish-rounds=128 scan-repeats=15 populations=[10, 100, 1000, 10000]
# envelope fixed overhead=28527 bytes; compiled in 5.432541ms
# load average at end={ 4.37 9.72 14.14 }
# total wall clock=23.166255s
kind	section	size_bytes	population	variant	samples	min_ns	p50_ns	p90_ns	max_ns	note
timing	scan	47803	100	collect-age-retaining-all	15	1504416	1512083	1536625	1597583	-
timing	hit-warm	47803	1000	lookup	8000	67208	77959	84709	203958	-
timing	hit-cold	47803	1000	lookup	48	138417	155084	167750	186875	-
timing	scan	47803	1000	account	15	6499583	7322417	7702375	8681417	-
timing	scan	47803	1000	collect-unbounded	15	6782333	7241041	8219666	8489667	-
timing	scan	47803	1000	collect-age-retaining-all	15	6368167	6840208	7615042	8723875	-
timing	hit-warm	47803	10000	lookup	8000	67334	76709	82166	158125	-
timing	hit-cold	47803	10000	lookup	48	121583	136500	149875	170042	-
timing	scan	47803	10000	account	15	30965666	31978000	32370375	33032125	-
timing	scan	47803	10000	collect-unbounded	15	30469916	34451042	35892625	41233000	-
timing	scan	47803	10000	collect-age-retaining-all	15	30656792	34936292	35430583	35785708	-
timing	decompose	47803	10000	whole-lookup	2000	67458	75625	81125	112125	-
timing	decompose	47803	10000	open-and-read	2000	12166	13708	14167	36625	-
timing	decompose	47803	10000	bundle-section-digests	2000	16125	16250	20584	29500	-
timing	decompose	47803	10000	key-derivations	2000	166	208	209	1208	-
timing	decompose	47803	10000	path-form-and-parse	2000	292	375	375	4833	-
timing	decompose	47803	10000	decode-artifact	2000	36458	41167	43583	102500	-
fact	decompose	47803	10000	residual	-	-	-	-	-	whole minimum 67458 ns; components sum to 65207 ns; residual 2251 ns (3.3% of the whole)
