# spike	reduction-dispatch-crossover
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.93 3.09 4.46
rows	contributors	elements	partitions	per_partition	strategy	encoders	widest_workgroup	threadgroup_bytes	stages	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	oracle
1	8192	8192	128	64	multi-pass-split	3	1	0	8192:8192:1|128:8192:64|1:128:128	30	16	157.917	199.250	236.167	30.736	353.292	387.958	441.292	38.692	13.0250	12.5805	4.6285	closed-form
1	16384	16384	128	128	serial-fold	2	1	0	16384:16384:1|1:16384:16384	30	16	590.166	660.083	715.375	58.038	7347.708	7409.667	7458.833	35.270	450.5028	449.9723	6.2205	closed-form
1	16384	16384	128	128	single-workgroup-tree	2	128	512	16384:16384:1|128:16512:256	30	16	160.375	205.334	240.625	22.743	447.541	550.792	592.917	49.882	19.1444	23.0305	4.8416	closed-form
1	16384	16384	128	128	multi-pass-split	3	1	0	16384:16384:1|128:16384:128|1:128:128	30	16	169.208	201.042	237.584	30.797	507.333	561.250	596.084	42.148	22.5417	24.0139	4.8630	closed-form
4	4	16	2	2	serial-fold	2	1	0	16:16:1|4:16:4	30	16	140.625	158.125	195.334	20.213	188.125	216.625	225.708	64.278	3.1667	3.9000	5.6328	reference-checked
4	4	16	2	2	single-workgroup-tree	2	2	16	16:16:1|8:24:4	30	16	143.625	154.833	200.042	45.258	190.667	221.375	231.166	8.558	3.1361	4.4361	3.5878	reference-checked
4	4	16	2	2	multi-pass-split	3	1	0	16:16:1|8:16:2|4:8:2	30	16	143.709	154.958	209.584	26.851	222.375	241.333	266.209	27.414	5.2444	5.7583	3.6176	reference-checked
4	16	64	4	4	serial-fold	2	1	0	64:64:1|4:64:16	30	16	154.750	177.750	202.167	15.192	180.709	203.084	230.083	17.772	1.7306	1.6889	2.1976	reference-checked
4	16	64	4	4	single-workgroup-tree	2	4	16	64:64:1|16:80:8	30	16	155.500	190.000	207.042	54.018	178.041	216.208	231.708	31.611	1.5027	1.7472	5.7086	reference-checked
4	16	64	4	4	multi-pass-split	3	1	0	64:64:1|16:64:4|4:16:4	30	16	137.791	181.583	206.584	18.892	196.584	230.500	249.917	27.357	3.9195	3.2611	3.0833	reference-checked
4	32	128	8	4	serial-fold	2	1	0	128:128:1|4:128:32	30	16	153.542	178.542	188.750	11.434	236.125	253.000	259.584	26.535	5.5055	4.9639	2.5312	reference-checked
4	32	128	8	4	single-workgroup-tree	2	8	32	128:128:1|32:160:12	30	16	155.000	180.292	191.166	27.233	190.333	221.042	225.000	10.187	2.3555	2.7167	2.4946	reference-checked
4	32	128	8	4	multi-pass-split	3	1	0	128:128:1|32:128:4|4:32:8	30	16	157.041	181.875	193.958	32.598	215.958	241.875	247.958	23.346	3.9278	4.0000	3.7296	reference-checked
4	64	256	8	8	serial-fold	2	1	0	256:256:1|4:256:64	30	16	168.333	200.250	210.291	36.471	196.667	205.750	231.375	29.666	1.8889	0.3667	4.4092	reference-checked
4	64	256	8	8	single-workgroup-tree	2	8	32	256:256:1|32:288:16	30	16	158.833	191.416	209.792	27.251	188.375	214.917	224.666	14.562	1.9695	1.5667	2.7875	reference-checked
4	64	256	8	8	multi-pass-split	3	1	0	256:256:1|32:256:8|4:32:8	30	16	172.208	197.750	209.250	12.882	204.958	226.042	245.750	26.325	2.1833	1.8861	2.6138	reference-checked
4	128	512	16	8	serial-fold	2	1	0	512:512:1|4:512:128	30	16	142.000	154.125	188.500	33.128	316.167	330.334	363.958	18.496	11.6111	11.7473	3.4417	reference-checked
4	128	512	16	8	single-workgroup-tree	2	16	64	512:512:1|64:576:24	30	16	143.458	153.750	175.458	19.195	182.500	193.333	225.042	15.126	2.6028	2.6389	2.2881	reference-checked
4	128	512	16	8	multi-pass-split	3	1	0	512:512:1|64:512:8|4:64:16	30	16	125.334	154.041	163.625	10.882	199.250	213.292	244.458	22.578	4.9277	3.9501	2.2307	reference-checked
4	256	1024	16	16	serial-fold	2	1	0	1024:1024:1|4:1024:256	30	16	154.750	180.792	189.583	14.745	243.375	264.292	270.750	28.396	5.9083	5.5667	2.8761	reference-checked
4	256	1024	16	16	single-workgroup-tree	2	16	64	1024:1024:1|64:1088:32	30	16	155.458	179.792	191.667	9.768	188.041	223.791	231.333	11.095	2.1722	2.9333	1.3909	reference-checked
4	256	1024	16	16	multi-pass-split	3	1	0	1024:1024:1|64:1024:16|4:64:16	30	16	156.958	180.000	197.833	82.865	210.834	237.959	248.583	25.621	3.5917	3.8639	7.2324	reference-checked
4	1024	4096	32	32	serial-fold	2	1	0	4096:4096:1|4:4096:1024	30	16	161.583	189.875	206.125	13.101	424.333	447.041	498.084	57.351	17.5167	17.1444	4.6968	reference-checked
4	1024	4096	32	32	single-workgroup-tree	2	32	128	4096:4096:1|128:4224:64	30	16	149.083	170.833	188.458	25.913	244.875	260.625	284.166	24.614	6.3861	5.9861	3.3685	reference-checked
4	1024	4096	32	32	multi-pass-split	3	1	0	4096:4096:1|128:4096:32|4:128:32	30	16	150.833	175.583	188.792	25.418	273.375	290.583	310.541	13.513	8.1695	7.6667	2.5954	reference-checked
4	2048	8192	64	32	serial-fold	2	1	0	8192:8192:1|4:8192:2048	30	16	173.000	204.416	208.959	9.596	528.917	606.916	672.666	46.376	23.7278	26.8333	3.7315	closed-form
4	2048	8192	64	32	single-workgroup-tree	2	64	256	8192:8192:1|256:8448:96	30	16	163.667	181.167	195.459	26.377	239.917	286.250	313.459	33.305	5.0833	7.0055	3.9788	closed-form
4	2048	8192	64	32	multi-pass-split	3	1	0	8192:8192:1|256:8192:32|4:256:64	30	16	153.000	182.667	192.167	11.679	271.916	298.958	308.834	15.816	7.9277	7.7527	1.8329	closed-form
4	4096	16384	64	64	serial-fold	2	1	0	16384:16384:1|4:16384:4096	30	16	201.958	222.209	233.542	12.748	865.084	897.875	952.916	35.418	44.2084	45.0444	3.2111	closed-form
