# fitted on 34 of 60 fit-set cells, the ones whose measured serial-or-parallel verdict is separated from the noise
## Fitted parameters
encoder_seconds	1.166147237e-6	1.1661 us per dispatch
parallel_threads	1.056001e3	fold steps retired at once when saturated
step_seconds	2.908885244e-8	29.0889 ns per critical-path fold step

## Decision accuracy: the three-way choice
set	cells	exact	median_regret	p90_regret	worst_regret
fit	60	45	1.0000	1.0899	4.2724
held-out	32	29	1.0000	1.0000	1.8144

## The same, on the cells whose winner is separated from its runner-up
set	cells	exact	median_regret	p90_regret	worst_regret
fit	16	15	1.0000	1.0000	1.0361
held-out	9	9	1.0000	1.0000	1.0000

## Decision accuracy: the serial fold against a parallel strategy
set	cells	agreed	worst_regret_when_wrong
fit	60	46	4.2724
held-out	32	30	1.8144

## The same, on the cells whose serial-or-parallel verdict is separated
set	cells	agreed	worst_regret_when_wrong
fit	4096	4096	single-workgroup-tree	serial-fold	851.689	1.001	1.016	1.016	no	yes	single-workgroup-tree
fit	16384	4	serial-fold	serial-fold	4.675	1.784	1.000	0.561	yes	yes	serial-fold
fit	16384	16	serial-fold	serial-fold	16.172	1.237	1.000	0.808	yes	yes	serial-fold
fit	16384	64	serial-fold	serial-fold	53.697	1.108	1.000	0.903	yes	yes	serial-fold
fit	16384	256	serial-fold	serial-fold	205.442	1.004	1.000	0.996	no	no	multi-pass-split
fit	16384	1024	serial-fold	serial-fold	855.003	1.013	1.000	0.987	yes	yes	serial-fold
fit	65536	4	serial-fold	serial-fold	18.011	1.365	1.000	0.733	yes	yes	serial-fold
fit	65536	16	serial-fold	serial-fold	52.525	1.267	1.000	0.789	yes	yes	serial-fold
fit	65536	64	serial-fold	serial-fold	204.631	1.038	1.000	0.964	yes	yes	serial-fold
fit	65536	256	single-workgroup-tree	serial-fold	830.733	1.007	1.036	1.036	yes	yes	single-workgroup-tree
fit	262144	4	serial-fold	serial-fold	57.550	1.420	1.000	0.704	yes	yes	serial-fold
fit	262144	16	serial-fold	serial-fold	202.717	1.136	1.000	0.880	yes	yes	serial-fold
fit	262144	64	serial-fold	serial-fold	848.658	1.013	1.000	0.987	yes	yes	serial-fold
held-out	1	32	single-workgroup-tree	single-workgroup-tree	2.228	1.526	1.000	1.951	no	no	single-workgroup-tree
held-out	1	128	single-workgroup-tree	single-workgroup-tree	1.911	1.664	1.000	5.536	no	yes	single-workgroup-tree
held-out	1	2048	single-workgroup-tree	single-workgroup-tree	5.681	1.348	1.000	4.223	no	yes	single-workgroup-tree
held-out	1	8192	single-workgroup-tree	single-workgroup-tree	11.028	1.141	1.000	48.659	no	yes	single-workgroup-tree
held-out	4	32	single-workgroup-tree	single-workgroup-tree	2.717	1.472	1.000	1.827	no	yes	single-workgroup-tree
held-out	4	128	single-workgroup-tree	single-workgroup-tree	2.639	1.497	1.000	4.452	no	yes	single-workgroup-tree
held-out	4	2048	single-workgroup-tree	single-workgroup-tree	7.005	1.107	1.000	3.830	no	yes	single-workgroup-tree
held-out	4	8192	single-workgroup-tree	single-workgroup-tree	11.345	1.422	1.000	50.714	yes	yes	single-workgroup-tree
held-out	16	32	single-workgroup-tree	single-workgroup-tree	2.500	1.244	1.000	1.830	no	no	single-workgroup-tree
held-out	16	128	single-workgroup-tree	single-workgroup-tree	3.125	1.302	1.000	3.651	no	yes	single-workgroup-tree
held-out	16	2048	single-workgroup-tree	single-workgroup-tree	6.811	1.291	1.000	3.721	no	yes	single-workgroup-tree
held-out	16	8192	single-workgroup-tree	single-workgroup-tree	17.167	1.203	1.000	34.531	yes	yes	single-workgroup-tree
held-out	64	32	single-workgroup-tree	single-workgroup-tree	2.428	1.583	1.000	1.927	no	no	single-workgroup-tree
held-out	64	128	single-workgroup-tree	single-workgroup-tree	3.522	1.382	1.000	4.596	no	yes	single-workgroup-tree
held-out	64	2048	single-workgroup-tree	single-workgroup-tree	11.267	1.074	1.000	2.800	no	yes	single-workgroup-tree
held-out	64	8192	single-workgroup-tree	single-workgroup-tree	35.495	1.175	1.000	18.601	yes	yes	single-workgroup-tree
held-out	256	32	single-workgroup-tree	single-workgroup-tree	3.519	1.234	1.000	1.726	no	yes	single-workgroup-tree
held-out	256	128	single-workgroup-tree	single-workgroup-tree	4.150	1.151	1.000	3.039	no	yes	single-workgroup-tree
held-out	256	2048	multi-pass-split	single-workgroup-tree	33.283	1.001	1.001	1.513	no	yes	single-workgroup-tree
held-out	256	8192	single-workgroup-tree	single-workgroup-tree	103.092	1.062	1.000	7.453	yes	yes	single-workgroup-tree
held-out	1024	32	serial-fold	serial-fold	3.672	1.067	1.000	0.937	no	no	multi-pass-split
held-out	1024	128	single-workgroup-tree	serial-fold	12.333	1.048	1.814	1.814	no	yes	single-workgroup-tree
held-out	1024	2048	single-workgroup-tree	single-workgroup-tree	102.883	1.005	1.000	1.186	no	yes	multi-pass-split
held-out	1024	8192	single-workgroup-tree	single-workgroup-tree	444.042	1.005	1.000	2.507	no	yes	single-workgroup-tree
held-out	4096	32	serial-fold	serial-fold	10.839	1.020	1.000	0.981	no	no	serial-fold
held-out	4096	128	multi-pass-split	serial-fold	34.225	1.028	1.198	1.198	no	yes	multi-pass-split
held-out	4096	2048	serial-fold	serial-fold	421.969	1.045	1.000	0.957	yes	yes	serial-fold
held-out	16384	32	serial-fold	serial-fold	27.570	1.158	1.000	0.864	yes	yes	serial-fold
held-out	16384	128	serial-fold	serial-fold	106.445	1.034	1.000	0.967	no	no	serial-fold
held-out	65536	32	serial-fold	serial-fold	101.258	1.184	1.000	0.845	yes	yes	serial-fold
held-out	65536	128	serial-fold	serial-fold	426.420	1.019	1.000	0.981	yes	yes	serial-fold
held-out	262144	32	serial-fold	serial-fold	441.947	1.021	1.000	0.979	yes	yes	serial-fold
